tag_id,taggable_id,taggable_type
6,282,App\Politician
29,282,App\Politician
24,282,App\Politician
6,283,App\Politician
39,283,App\Politician
24,283,App\Politician
6,284,App\Politician
50,284,App\Politician
24,284,App\Politician
6,285,App\Politician
16,285,App\Politician
24,285,App\Politician
6,286,App\Politician
18,286,App\Politician
24,286,App\Politician
6,287,App\Politician
34,287,App\Politician
24,287,App\Politician
1,288,App\Politician
49,288,App\Politician
24,288,App\Politician
6,289,App\Politician
41,289,App\Politician
4,289,App\Politician
6,290,App\Politician
50,290,App\Politician
24,290,App\Politician
1,291,App\Politician
19,291,App\Politician
24,291,App\Politician
6,292,App\Politician
10,292,App\Politician
24,292,App\Politician
1,293,App\Politician
50,293,App\Politician
4,293,App\Politician
1,294,App\Politician
39,294,App\Politician
24,294,App\Politician
1,295,App\Politician
35,295,App\Politician
24,295,App\Politician
6,296,App\Politician
3,296,App\Politician
24,296,App\Politician
6,297,App\Politician
12,297,App\Politician
24,297,App\Politician
1,298,App\Politician
10,298,App\Politician
24,298,App\Politician
6,299,App\Politician
10,299,App\Politician
24,299,App\Politician
1,300,App\Politician
9,300,App\Politician
24,300,App\Politician
6,301,App\Politician
35,301,App\Politician
24,301,App\Politician
6,302,App\Politician
33,302,App\Politician
24,302,App\Politician
1,303,App\Politician
3,303,App\Politician
24,303,App\Politician
6,304,App\Politician
22,304,App\Politician
24,304,App\Politician
6,305,App\Politician
37,305,App\Politician
4,305,App\Politician
1,306,App\Politician
39,306,App\Politician
24,306,App\Politician
1,307,App\Politician
38,307,App\Politician
24,307,App\Politician
6,308,App\Politician
30,308,App\Politician
24,308,App\Politician
6,309,App\Politician
53,309,App\Politician
4,309,App\Politician
1,310,App\Politician
50,310,App\Politician
24,310,App\Politician
1,311,App\Politician
52,311,App\Politician
24,311,App\Politician
1,312,App\Politician
47,312,App\Politician
24,312,App\Politician
1,313,App\Politician
19,313,App\Politician
24,313,App\Politician
6,314,App\Politician
38,314,App\Politician
24,314,App\Politician
1,315,App\Politician
57,315,App\Politician
24,315,App\Politician
6,316,App\Politician
52,316,App\Politician
24,316,App\Politician
6,317,App\Politician
45,317,App\Politician
4,317,App\Politician
1,318,App\Politician
22,318,App\Politician
24,318,App\Politician
1,319,App\Politician
3,319,App\Politician
24,319,App\Politician
1,320,App\Politician
39,320,App\Politician
24,320,App\Politician
1,321,App\Politician
22,321,App\Politician
24,321,App\Politician
1,322,App\Politician
16,322,App\Politician
4,322,App\Politician
1,323,App\Politician
39,323,App\Politician
4,323,App\Politician
1,324,App\Politician
39,324,App\Politician
24,324,App\Politician
1,325,App\Politician
55,325,App\Politician
24,325,App\Politician
6,326,App\Politician
17,326,App\Politician
24,326,App\Politician
6,327,App\Politician
3,327,App\Politician
24,327,App\Politician
6,328,App\Politician
17,328,App\Politician
24,328,App\Politician
6,329,App\Politician
58,329,App\Politician
4,329,App\Politician
6,330,App\Politician
25,330,App\Politician
24,330,App\Politician
6,331,App\Politician
10,331,App\Politician
24,331,App\Politician
6,332,App\Politician
58,332,App\Politician
24,332,App\Politician
6,333,App\Politician
59,333,App\Politician
24,333,App\Politician
6,334,App\Politician
38,334,App\Politician
24,334,App\Politician
6,335,App\Politician
22,335,App\Politician
24,335,App\Politician
6,336,App\Politician
51,336,App\Politician
24,336,App\Politician
1,337,App\Politician
50,337,App\Politician
24,337,App\Politician
1,338,App\Politician
12,338,App\Politician
24,338,App\Politician
6,339,App\Politician
23,339,App\Politician
24,339,App\Politician
1,340,App\Politician
52,340,App\Politician
4,340,App\Politician
6,341,App\Politician
34,341,App\Politician
24,341,App\Politician
6,342,App\Politician
34,342,App\Politician
24,342,App\Politician
6,343,App\Politician
9,343,App\Politician
24,343,App\Politician
6,344,App\Politician
9,344,App\Politician
24,344,App\Politician
1,345,App\Politician
10,345,App\Politician
24,345,App\Politician
6,346,App\Politician
59,346,App\Politician
4,346,App\Politician
6,347,App\Politician
3,347,App\Politician
24,347,App\Politician
6,348,App\Politician
40,348,App\Politician
24,348,App\Politician
6,349,App\Politician
22,349,App\Politician
24,349,App\Politician
6,350,App\Politician
39,350,App\Politician
24,350,App\Politician
6,351,App\Politician
19,351,App\Politician
24,351,App\Politician
6,352,App\Politician
12,352,App\Politician
24,352,App\Politician
6,353,App\Politician
25,353,App\Politician
24,353,App\Politician
6,354,App\Politician
25,354,App\Politician
24,354,App\Politician
1,355,App\Politician
34,355,App\Politician
24,355,App\Politician
6,356,App\Politician
9,356,App\Politician
24,356,App\Politician
6,357,App\Politician
45,357,App\Politician
4,357,App\Politician
1,358,App\Politician
9,358,App\Politician
24,358,App\Politician
6,359,App\Politician
36,359,App\Politician
4,359,App\Politician
1,360,App\Politician
50,360,App\Politician
24,360,App\Politician
1,361,App\Politician
9,361,App\Politician
24,361,App\Politician
6,362,App\Politician
33,362,App\Politician
24,362,App\Politician
6,363,App\Politician
17,363,App\Politician
24,363,App\Politician
6,364,App\Politician
22,364,App\Politician
24,364,App\Politician
6,365,App\Politician
40,365,App\Politician
24,365,App\Politician
1,366,App\Politician
58,366,App\Politician
24,366,App\Politician
6,367,App\Politician
9,367,App\Politician
24,367,App\Politician
1,368,App\Politician
9,368,App\Politician
24,368,App\Politician
1,369,App\Politician
58,369,App\Politician
24,369,App\Politician
1,370,App\Politician
3,370,App\Politician
4,370,App\Politician
1,371,App\Politician
10,371,App\Politician
24,371,App\Politician
6,372,App\Politician
30,372,App\Politician
24,372,App\Politician
6,373,App\Politician
13,373,App\Politician
24,373,App\Politician
1,374,App\Politician
39,374,App\Politician
24,374,App\Politician
6,375,App\Politician
40,375,App\Politician
24,375,App\Politician
1,376,App\Politician
48,376,App\Politician
4,376,App\Politician
6,377,App\Politician
31,377,App\Politician
4,377,App\Politician
6,378,App\Politician
12,378,App\Politician
24,378,App\Politician
6,379,App\Politician
3,379,App\Politician
24,379,App\Politician
6,380,App\Politician
58,380,App\Politician
24,380,App\Politician
6,381,App\Politician
18,381,App\Politician
24,381,App\Politician
6,382,App\Politician
20,382,App\Politician
24,382,App\Politician
6,383,App\Politician
25,383,App\Politician
24,383,App\Politician
6,384,App\Politician
3,384,App\Politician
24,384,App\Politician
6,385,App\Politician
36,385,App\Politician
24,385,App\Politician
1,386,App\Politician
29,386,App\Politician
24,386,App\Politician
1,387,App\Politician
58,387,App\Politician
24,387,App\Politician
6,388,App\Politician
16,388,App\Politician
24,388,App\Politician
6,389,App\Politician
23,389,App\Politician
24,389,App\Politician
6,390,App\Politician
10,390,App\Politician
24,390,App\Politician
6,391,App\Politician
16,391,App\Politician
24,391,App\Politician
6,392,App\Politician
25,392,App\Politician
24,392,App\Politician
1,393,App\Politician
9,393,App\Politician
24,393,App\Politician
1,394,App\Politician
17,394,App\Politician
24,394,App\Politician
6,395,App\Politician
9,395,App\Politician
24,395,App\Politician
1,396,App\Politician
45,396,App\Politician
4,396,App\Politician
1,397,App\Politician
39,397,App\Politician
24,397,App\Politician
6,398,App\Politician
50,398,App\Politician
24,398,App\Politician
1,399,App\Politician
10,399,App\Politician
24,399,App\Politician
6,400,App\Politician
49,400,App\Politician
24,400,App\Politician
6,401,App\Politician
42,401,App\Politician
4,401,App\Politician
6,402,App\Politician
39,402,App\Politician
24,402,App\Politician
1,403,App\Politician
3,403,App\Politician
24,403,App\Politician
1,404,App\Politician
9,404,App\Politician
24,404,App\Politician
6,405,App\Politician
12,405,App\Politician
24,405,App\Politician
6,406,App\Politician
35,406,App\Politician
24,406,App\Politician
1,407,App\Politician
22,407,App\Politician
24,407,App\Politician
1,408,App\Politician
44,408,App\Politician
24,408,App\Politician
1,409,App\Politician
19,409,App\Politician
24,409,App\Politician
6,410,App\Politician
33,410,App\Politician
24,410,App\Politician
6,411,App\Politician
39,411,App\Politician
24,411,App\Politician
6,412,App\Politician
9,412,App\Politician
4,412,App\Politician
6,413,App\Politician
59,413,App\Politician
4,413,App\Politician
6,414,App\Politician
38,414,App\Politician
24,414,App\Politician
1,415,App\Politician
47,415,App\Politician
24,415,App\Politician
1,416,App\Politician
17,416,App\Politician
24,416,App\Politician
1,417,App\Politician
39,417,App\Politician
24,417,App\Politician
6,418,App\Politician
9,418,App\Politician
24,418,App\Politician
1,419,App\Politician
62,419,App\Politician
24,419,App\Politician
1,420,App\Politician
3,420,App\Politician
24,420,App\Politician
1,421,App\Politician
3,421,App\Politician
24,421,App\Politician
1,422,App\Politician
50,422,App\Politician
24,422,App\Politician
6,423,App\Politician
37,423,App\Politician
4,423,App\Politician
1,424,App\Politician
29,424,App\Politician
4,424,App\Politician
1,425,App\Politician
36,425,App\Politician
24,425,App\Politician
1,426,App\Politician
50,426,App\Politician
24,426,App\Politician
6,427,App\Politician
60,427,App\Politician
24,427,App\Politician
1,428,App\Politician
15,428,App\Politician
4,428,App\Politician
1,429,App\Politician
57,429,App\Politician
24,429,App\Politician
6,430,App\Politician
39,430,App\Politician
24,430,App\Politician
1,431,App\Politician
38,431,App\Politician
4,431,App\Politician
1,432,App\Politician
29,432,App\Politician
24,432,App\Politician
6,433,App\Politician
3,433,App\Politician
24,433,App\Politician
6,434,App\Politician
19,434,App\Politician
24,434,App\Politician
6,435,App\Politician
33,435,App\Politician
24,435,App\Politician
6,436,App\Politician
3,436,App\Politician
24,436,App\Politician
6,437,App\Politician
37,437,App\Politician
24,437,App\Politician
6,438,App\Politician
49,438,App\Politician
24,438,App\Politician
6,439,App\Politician
46,439,App\Politician
24,439,App\Politician
6,440,App\Politician
35,440,App\Politician
24,440,App\Politician
6,441,App\Politician
50,441,App\Politician
24,441,App\Politician
6,442,App\Politician
25,442,App\Politician
24,442,App\Politician
6,443,App\Politician
56,443,App\Politician
4,443,App\Politician
1,444,App\Politician
3,444,App\Politician
24,444,App\Politician
1,445,App\Politician
39,445,App\Politician
24,445,App\Politician
1,446,App\Politician
49,446,App\Politician
24,446,App\Politician
6,447,App\Politician
38,447,App\Politician
24,447,App\Politician
6,448,App\Politician
38,448,App\Politician
24,448,App\Politician
1,449,App\Politician
39,449,App\Politician
24,449,App\Politician
1,450,App\Politician
56,450,App\Politician
4,450,App\Politician
6,451,App\Politician
40,451,App\Politician
24,451,App\Politician
6,452,App\Politician
20,452,App\Politician
24,452,App\Politician
6,453,App\Politician
9,453,App\Politician
24,453,App\Politician
6,454,App\Politician
47,454,App\Politician
24,454,App\Politician
1,455,App\Politician
39,455,App\Politician
4,455,App\Politician
1,456,App\Politician
36,456,App\Politician
4,456,App\Politician
6,457,App\Politician
23,457,App\Politician
24,457,App\Politician
6,458,App\Politician
18,458,App\Politician
24,458,App\Politician
6,459,App\Politician
51,459,App\Politician
