tag,taggable_id,taggable_type
Georgia,348,politician
US Representative,348,politician
Republican Party,349,politician
Pennsylvania,349,politician
US Representative,349,politician
Republican Party,350,politician
California,350,politician
US Representative,350,politician
Republican Party,351,politician
Maryland,351,politician
US Representative,351,politician
Republican Party,352,politician
Ohio,352,politician
US Representative,352,politician
Republican Party,353,politician
Virginia,353,politician
US Representative,353,politician
Republican Party,354,politician
Virginia,354,politician
US Representative,354,politician
Democratic Party,355,politician
Tennessee,355,politician
US Representative,355,politician
Republican Party,356,politician
Texas,356,politician
US Representative,356,politician
Republican Party,357,politician
Iowa,357,politician
Senator,357,politician
Democratic Party,358,politician
Texas,358,politician
US Representative,358,politician
Republican Party,359,politician
New Hampshire,359,politician
Senator,359,politician
Democratic Party,360,politician
Illinois,360,politician
US Representative,360,politician
Democratic Party,361,politician
Texas,361,politician
US Representative,361,politician
Republican Party,362,politician
Missouri,362,politician
US Representative,362,politician
Republican Party,363,politician
New Jersey,363,politician
US Representative,363,politician
Republican Party,364,politician
Pennsylvania,364,politician
US Representative,364,politician
Republican Party,365,politician
Georgia,365,politician
US Representative,365,politician
Democratic Party,366,politician
Arizona,366,politician
US Representative,366,politician
Republican Party,367,politician
Texas,367,politician
US Representative,367,politician
Democratic Party,368,politician
Texas,368,politician
US Representative,368,politician
Democratic Party,369,politician
Arizona,369,politician
US Representative,369,politician
Democratic Party,370,politician
New York,370,politician
Senator,370,politician
Democratic Party,371,politician
Florida,371,politician
US Representative,371,politician
Republican Party,372,politician
Alabama,372,politician
US Representative,372,politician
Republican Party,373,politician
Kentucky,373,politician
US Representative,373,politician
Democratic Party,374,politician
California,374,politician
US Representative,374,politician
Republican Party,375,politician
Georgia,375,politician
US Representative,375,politician
Democratic Party,376,politician
West Virginia,376,politician
Senator,376,politician
Republican Party,377,politician
Colorado,377,politician
Senator,377,politician
Republican Party,378,politician
Ohio,378,politician
US Representative,378,politician
Republican Party,379,politician
New York,379,politician
US Representative,379,politician
Republican Party,380,politician
