legal_name,last_name,first_name,temp,tags,flip_background,flop_background
Larry  Bucshon,Bucshon,Larry,Larry Bucshon,"Republican Party, Indiana, US Representative",larry_bucshon_red.png,larry_bucshon_blue.png
Ann Marie  Buerkle,Buerkle,Ann Marie,Ann Marie Buerkle,"Republican Party, New York, US Representative",ann_buerkle_red.png,ann_buerkle_blue.png
Richard  Blumenthal,Blumenthal,Richard,Richard Blumenthal,"Democratic Party, Connecticut, Senator",richard_blumenthal_red.png,richard_blumenthal_blue.png
Suzanne  Bonamici,Bonamici,Suzanne,Suzanne Bonamici,"Democratic Party, Oregon, US Representative",suzanne_bonamici_red.png,suzanne_bonamici_blue.png
Ron  Barber,Barber,Ron,Ron Barber,"Democratic Party, Arizona, US Representative",ron_barber_red.png,ron_barber_blue.png
Joyce  Beatty,Beatty,Joyce,Joyce Beatty,"Democratic Party, Ohio, US Representative",joyce_beatty_red.png,joyce_beatty_blue.png
Garland  Barr,Barr,Garland,Garland Barr,"Republican Party, Kentucky, US Representative",garland_barr_red.png,garland_barr_blue.png
Jim  Bridenstine,Bridenstine,Jim,Jim Bridenstine,"Republican Party, Oklahoma, US Representative",jim_bridenstine_red.png,jim_bridenstine_blue.png
Susan W. Brooks,Brooks,Susan W.,Susan W. Brooks,"Republican Party, Indiana, US Representative",susan_brooks_red.png,susan_brooks_blue.png
Julia  Brownley,Brownley,Julia,Julia Brownley,"Democratic Party, California, US Representative",julia_brownley_red.png,julia_brownley_blue.png
Cheri  Bustos,Bustos,Cheri,Cheri Bustos,"Democratic Party, Illinois, US Representative",cheri_bustos_red.png,cheri_bustos_blue.png
Ami  Bera,Bera,Ami,Ami Bera,"Democratic Party, California, US Representative",ami_bera_red.png,ami_bera_blue.png
Cory Anthony Booker,Booker,Cory Anthony,Cory Anthony Booker,"Democratic Party, New Jersey, Senator",cory_booker_red.png,cory_booker_blue.png
Bradley  Byrne,Byrne,Bradley,Bradley Byrne,"Republican Party, Alabama, US Representative",bradley_byrne_red.png,bradley_byrne_blue.png
David Alan Brat,Brat,David Alan,David Alan Brat,"Republican Party, Virginia, US Representative",david_brat_red.png,david_brat_blue.png
Brian  Babin,Babin,Brian,Brian Babin,"Republican Party, Texas, US Representative",brian_babin_red.png,brian_babin_blue.png
Donald  Beyer,Beyer,Donald,Donald Beyer,"Democratic Party, Virginia, US Representative",donald_beyer_red.png,donald_beyer_blue.png
Mike  Bishop,Bishop,Mike,Mike Bishop,"Republican Party, Michigan, US Representative",mike_bishop_red.png,mike_bishop_blue.png
Rod  Blum,Blum,Rod,Rod Blum,"Republican Party, Iowa, US Representative",rod_blum_red.png,rod_blum_blue.png
Mike  Bost,Bost,Mike,Mike Bost,"Republican Party, Illinois, US Representative",mike_bost_red.png,mike_bost_blue.png
Brendan  Boyle,Boyle,Brendan,Brendan Boyle,"Democratic Party, Pennsylvania, US Representative",brendan_boyle_red.png,brendan_boyle_blue.png
Ken  Buck,Buck,Ken,Ken Buck,"Republican Party, Colorado, US Representative",ken_buck_red.png,ken_buck_blue.png
Don  Bacon,Bacon,Don,Don Bacon,"Republican Party, Nebraska, US Representative",don_bacon_red.png,don_bacon_blue.png
Jim  Banks,Banks,Jim,Jim Banks,"Republican Party, Indiana, US Representative",jim_banks_red.png,jim_banks_blue.png
Nanette  Barrag√°n,Barrag√°n,Nanette,Nanette Barrag√°n,"Democratic Party, California, US Representative",nanette_barrag„°n_red.png,nanette_barrag„°n_blue.png
Jack  Bergman,Bergman,Jack,Jack Bergman,"Republican Party, Michigan, US Representative",jack_bergman_red.png,jack_bergman_blue.png
Andy  Biggs,Biggs,Andy,Andy Biggs,"Republican Party, Arizona, US Representative",andy_biggs_red.png,andy_biggs_blue.png
Lisa  Blunt Rochester,Blunt Rochester,Lisa,Lisa Blunt Rochester,"Democratic Party, Delaware, US Representative",lisa_blunt_rochester_red.png,lisa_blunt_rochester_blue.png
Anthony  Brown,Brown,Anthony,Anthony Brown,"Democratic Party, Maryland, US Representative",anthony_brown_red.png,anthony_brown_blue.png
Ted  Budd,Budd,Ted,Ted Budd,"Republican Party, North Carolina, US Representative",ted_budd_red.png,ted_budd_blue.png
Ken S. Calvert,Calvert,Ken S.,Ken S. Calvert,"Republican Party, California, US Representative",ken_calvert_red.png,ken_calvert_blue.png
Dave Lee Camp,Camp,Dave Lee,Dave Lee Camp,"Republican Party, Michigan, US Representative",dave_camp_red.png,dave_camp_blue.png
Christopher B. Cannon,Cannon,Christopher B.,Christopher B. Cannon,"Republican Party, Utah, US Representative",christopher_cannon_red.png,christopher_cannon_blue.png
Maria  Cantwell,Cantwell,Maria,Maria Cantwell,"Democratic Party, Washington, Senator",maria_cantwell_red.png,maria_cantwell_blue.png
Benjamin L. Cardin,Cardin,Benjamin L.,Benjamin L. Cardin,"Democratic Party, Maryland, Senator",benjamin_cardin_red.png,benjamin_cardin_blue.png
Thomas Richard Carper,Carper,Thomas Richard,Thomas Richard Carper,"Democratic Party, Delaware, Senator",thomas_carper_red.png,thomas_carper_blue.png
Julia M. Carson,Carson,Julia M.,Julia M. Carson,"Democratic Party, Indiana, US Representative",julia_carson_red.png,julia_carson_blue.png
Michael N. Castle,Castle,Michael N.,Michael N. Castle,"Republican Party, Delaware, US Representative",michael_castle_red.png,michael_castle_blue.png
